cluster_py,gene,scores,logfoldchanges,pvals,pvals_adj,tag,gene_r,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster_r
Myeloid,HNF4G,-4.2181134,0.6957512,2.463549532617106e-05,0.0088441428220954,**,,,,,,,
Myeloid,TAL1,-4.5080504,0.3183676,6.542609548251981e-06,0.0023487968278224,**,,,,,,,
Myeloid,KMT2A,-4.5672846,1.1368197,4.940829343375959e-06,0.0017737577342719,**,,,,,,,
Myeloid,ESR1,-4.604696,0.48569238,4.130691734792335e-06,0.0014829183327904,**,,,,,,,
Myeloid,FOSL1,-4.9819255,0.90204996,6.295468266525371e-07,0.0002260073107682,***,,,,,,,
Myeloid,GATA3,-5.0286894,0.11443405,4.938433673359718e-07,0.0001772897688736,***,,,,,,,
Myeloid,CTCF,-5.2531567,0.22931404,1.4951421734185365e-07,5.367560402572546e-05,***,,,,,,,
Myeloid,HNF4A,-5.5960927,0.36456862,2.1923643890900992e-08,7.870588156833457e-06,***,,,,,,,
Myeloid,TFAP2C,-5.624151,0.2719386,1.8642235928801625e-08,6.692562698439783e-06,***,,,,,,,
Myeloid,FOXA1,-5.6553273,0.19863544,1.5554968949321267e-08,5.584233852806335e-06,***,,,,,,,
Myeloid,GATA2,-6.023204,0.38602614,1.7099767685873223e-09,6.138816599228488e-07,***,,,,,,,
Myeloid,EGR1,-6.718429,1.1501111,1.8369432621565024e-11,6.594626311141844e-09,***,,,,,,,
